date,max_temp,min_temp,crowd_level
2010-10-13,78°F,63°F,3
2010-10-14,72°F,63°F,4
2010-10-15,72°F,63°F,4
2010-10-16,68°F,63°F,7
2010-10-17,67°F,63°F,5
2010-10-18,67°F,61°F,3
2010-10-19,68°F,62°F,2
2010-10-20,67°F,61°F,3
2010-10-21,67°F,62°F,3
2010-10-22,68°F,60°F,5
2010-10-23,69°F,59°F,7
2010-10-24,72°F,57°F,5
2010-10-25,76°F,62°F,2
2010-10-26,81°F,56°F,2
2010-10-27,83°F,55°F,3
2010-10-28,83°F,56°F,2
2010-10-29,79°F,53°F,4
2010-10-30,69°F,58°F,6
2010-10-31,78°F,52°F,4
2010-11-01,87°F,51°F,2
2010-11-02,91°F,58°F,4
2010-11-03,98°F,59°F,5
2010-11-04,96°F,63°F,5
2010-11-05,86°F,64°F,8
2010-11-06,74°F,60°F,8
2010-11-07,69°F,58°F,4
2010-11-08,71°F,54°F,2
2010-11-09,68°F,47°F,2
2010-11-10,73°F,46°F,2
2010-11-11,75°F,49°F,6
2010-11-12,78°F,47°F,7
2010-11-13,81°F,48°F,6
2010-11-14,80°F,52°F,4
2010-11-15,75°F,51°F,2
2010-11-16,69°F,49°F,2
2010-11-17,74°F,56°F,2
2010-11-18,71°F,50°F,2
2010-11-19,62°F,58°F,5
2010-11-20,62°F,54°F,7
2010-11-21,61°F,49°F,4
2010-11-22,62°F,43°F,5
2010-11-23,61°F,45°F,9
2010-11-24,64°F,46°F,9
2010-11-25,65°F,42°F,8
2010-11-26,69°F,41°F,9
2010-11-27,61°F,39°F,9
2010-11-28,63°F,46°F,9
2010-11-29,65°F,39°F,2
2010-11-30,70°F,42°F,2
2010-12-01,73°F,42°F,2
2010-12-02,72°F,42°F,2
2010-12-03,69°F,44°F,5
2010-12-04,63°F,46°F,7
2010-12-05,67°F,48°F,5
2010-12-06,67°F,49°F,3
2010-12-07,75°F,44°F,3
2010-12-08,69°F,44°F,4
2010-12-09,66°F,46°F,3
2010-12-10,68°F,50°F,6
2010-12-11,84°F,51°F,7
2010-12-12,87°F,52°F,5
2010-12-13,76°F,51°F,3
2010-12-14,60°F,50°F,2
2010-12-15,61°F,56°F,5
2010-12-16,60°F,52°F,4
2010-12-17,60°F,52°F,5
2010-12-18,61°F,57°F,7
2010-12-19,61°F,57°F,7
2010-12-20,61°F,55°F,7
2010-12-21,58°F,53°F,7
2010-12-22,60°F,53°F,10
2010-12-23,64°F,49°F,10
2010-12-24,68°F,44°F,8
2010-12-25,60°F,48°F,10
2010-12-26,63°F,49°F,10
2010-12-27,66°F,41°F,10
2010-12-28,64°F,42°F,10
2010-12-29,56°F,51°F,10
2010-12-30,56°F,44°F,10
2010-12-31,56°F,33°F,10
2011-01-01,58°F,40°F,9
2011-01-02,55°F,44°F,9
2011-01-03,60°F,46°F,5
2011-01-04,67°F,43°F,1
2011-01-05,67°F,45°F,2
2011-01-06,65°F,47°F,1
2011-01-07,60°F,47°F,5
2011-01-08,58°F,47°F,7
2011-01-09,62°F,47°F,4
2011-01-10,64°F,43°F,3
2011-01-11,68°F,47°F,2
2011-01-12,72°F,46°F,2
2011-01-13,78°F,46°F,2
2011-01-14,79°F,48°F,5
2011-01-15,80°F,52°F,8
2011-01-16,75°F,48°F,8
2011-01-17,78°F,51°F,7
2011-01-18,78°F,50°F,5
2011-01-19,71°F,50°F,6
2011-01-20,76°F,50°F,6
2011-01-21,75°F,44°F,5
2011-01-22,74°F,44°F,6
2011-01-23,76°F,48°F,4
2011-01-24,70°F,42°F,3
2011-01-25,75°F,44°F,2
2011-01-26,78°F,45°F,3
2011-01-27,76°F,50°F,2
2011-01-28,72°F,43°F,6
2011-01-29,64°F,43°F,7
2011-01-30,60°F,51°F,4
2011-01-31,62°F,44°F,3
2011-02-01,63°F,44°F,2
2011-02-02,64°F,46°F,3
2011-02-03,62°F,38°F,3
2011-02-04,62°F,42°F,7
2011-02-05,69°F,42°F,8
2011-02-06,74°F,50°F,7
2011-02-07,75°F,47°F,6
2011-02-08,70°F,53°F,2
2011-02-09,71°F,48°F,2
2011-02-10,72°F,47°F,1
2011-02-11,76°F,41°F,5
2011-02-12,80°F,43°F,6
2011-02-13,69°F,45°F,3
2011-02-14,64°F,48°F,6
2011-02-15,64°F,54°F,1
2011-02-16,61°F,49°F,1
2011-02-17,59°F,42°F,1
2011-02-18,61°F,47°F,6
2011-02-19,56°F,46°F,10
2011-02-20,57°F,41°F,10
2011-02-21,59°F,41°F,10
2011-02-22,60°F,41°F,8
2011-02-23,59°F,43°F,8
2011-02-24,59°F,46°F,8
2011-02-25,57°F,51°F,10
2011-02-26,55°F,43°F,10
2011-02-27,60°F,35°F,5
2011-02-28,65°F,39°F,2
2011-03-01,64°F,41°F,2
2011-03-02,65°F,48°F,2
2011-03-03,68°F,51°F,2
2011-03-04,76°F,52°F,6
2011-03-05,79°F,49°F,6
2011-03-06,64°F,49°F,4
2011-03-07,67°F,54°F,2
2011-03-08,73°F,47°F,3
2011-03-09,78°F,48°F,2
2011-03-10,75°F,49°F,2
2011-03-11,68°F,49°F,6
2011-03-12,65°F,51°F,10
2011-03-13,69°F,49°F,9
2011-03-14,70°F,50°F,9
2011-03-15,71°F,53°F,8
2011-03-16,70°F,52°F,8
2011-03-17,71°F,53°F,8
2011-03-18,68°F,48°F,8
2011-03-19,61°F,54°F,10
2011-03-20,58°F,50°F,9
2011-03-21,58°F,46°F,8
2011-03-22,60°F,47°F,8
2011-03-23,61°F,44°F,8
2011-03-24,60°F,42°F,8
2011-03-25,62°F,52°F,9
2011-03-26,62°F,49°F,10
2011-03-27,63°F,52°F,9
2011-03-28,68°F,50°F,9
2011-03-29,76°F,50°F,8
2011-03-30,79°F,54°F,8
2011-03-31,82°F,54°F,8
2011-04-01,82°F,58°F,8
2011-04-02,67°F,58°F,10
2011-04-03,75°F,57°F,8
2011-04-04,80°F,52°F,9
2011-04-05,71°F,56°F,8
2011-04-06,68°F,56°F,9
2011-04-07,64°F,52°F,8
2011-04-08,57°F,47°F,8
2011-04-09,64°F,42°F,10
2011-04-10,70°F,48°F,8
2011-04-11,74°F,49°F,9
2011-04-12,67°F,52°F,9
2011-04-13,72°F,54°F,9
2011-04-14,81°F,49°F,9
2011-04-15,86°F,52°F,9
2011-04-16,86°F,56°F,10
2011-04-17,71°F,57°F,10
2011-04-18,66°F,58°F,10
2011-04-19,68°F,57°F,10
2011-04-20,69°F,58°F,10
2011-04-21,68°F,56°F,10
